# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.2

bb::ai::hold, long, 00000000000000D4
bb::d::pos::유격수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0918235C021E8360179094028000000000000017A09C07ACCB7F69549810570697463680800000000037961770800000000
bb::d::pos::좌익수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091823624D0E54B0179094028000000000000017A09C07C809E9A4B198E0570697463680800000000037961770800000000
bb::d::pos::중견수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C090BBB38ECADCB40179094028000000000000017A09C07C3131C4D48D2F0570697463680800000000037961770800000000
bb::d::pos::투수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0919200000000000179094028000000000000017A09C078D800000000000570697463680800000000037961770800000000
bb::d::pos::포수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091E038F85C2FCA0179094028000000000000017A09C0779F1C1E8F40D80570697463680800000000037961770800000000
bb::d::right, vector, 830178093FE6A09E667F3BCB0179090000000000000000017A093FE6A09E667F3BCE
bb::d::scale, double, 3FF165AFFCB85A11
bb::f::b1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0914200000000000179094028000000000000017A09C077B800000000000570697463680800000000037961770800000000
bb::f::b2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0915600000000000179094028000000000000017A09C079C800000000000570697463680800000000037961770800000000
bb::f::b3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091DA00000000000179094028000000000000017A09C07A1800000000000570697463680800000000037961770800000000
bb::f::dug_away, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091B200000000000179094028000000000000017A09C076B800000000000570697463680800000000037961770800000000
bb::f::dug_home, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0921600000000000179094028000000000000017A09C0786800000000000570697463680800000000037961770800000000
bb::f::fence::ang::1, double, C05A2AF67DA9E1A4
bb::f::fence::ang::2, double, C04692BB54114141
bb::f::fence::ang::3, double, 401454196ABEF979
bb::f::fence::ang::4, double, 4046979B58FF62D5
bb::f::fence::d::1, double, 4035A67A9A3933C8
bb::f::fence::d::2, double, 4057CCB1523E7BFA
bb::f::fence::d::3, double, 405F3DD19A9E49B5
bb::f::fence::d::4, double, 40598CD57976E04B
bb::f::fence::h::1, double, 40203C0028115108
bb::f::fence::h::2, double, 0000000000000000
bb::f::fence::h::3, double, 4000000000000000
bb::f::fence::h::4, double, 0000000000000000
bb::f::fence::n, long, 0000000000000004
bb::f::home, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091DA00000000000179094028000000000000017A09C077B800000000000570697463680800000000037961770800000000
bb::f::mound, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0919200000000000179094028000000000000017A09C078D800000000000570697463680800000000037961770800000000
bb::f::ready, boolean, 01
bb::g::b, long, 0000000000000000
bb::g::batter, offlineplayer, 810475756964800455554944820B6D6F73747369676269747304D278232C1A5D4AAD0C6C656173747369676269747304B93C42F29115BD93
bb::g::half, string, 8003746F70
bb::g::inn, long, 0000000000000001
bb::g::linescore::away::1, long, 0000000000000002
bb::g::lineup::away::1, offlineplayer, 810475756964800455554944820B6D6F73747369676269747304D278232C1A5D4AAD0C6C656173747369676269747304B93C42F29115BD93
bb::g::lineupn::away, long, 0000000000000001
bb::g::lineupn::home, long, 0000000000000000
bb::g::members::1, offlineplayer, 810475756964800455554944820B6D6F73747369676269747304D278232C1A5D4AAD0C6C656173747369676269747304B93C42F29115BD93
bb::g::on, boolean, 00
bb::g::order::away, long, 0000000000000001
bb::g::order::home, long, 0000000000000000
bb::g::out, long, 0000000000000000
bb::g::phase, string, 8004706C6179
bb::g::s, long, 0000000000000000
bb::g::score::away, long, 0000000000000002
bb::g::score::home, long, 0000000000000000
bb::g::team::away::1, offlineplayer, 810475756964800455554944820B6D6F73747369676269747304D278232C1A5D4AAD0C6C656173747369676269747304B93C42F29115BD93
bb::p::calm, long, 0000000000000000
bb::p::foul, boolean, 00
bb::p::hr, boolean, 00
bb::p::live, boolean, 01
bb::p::mode, string, 8003686974
bb::p::t, long, 0000000000000195
bb::pl::bases, long, 0000000000000001
bb::pl::pos, string, 8006ED88ACEC8898
bb::pl::reach, double, 4044162A99B12847
bb::pl::sac, boolean, 00
bb::pl::type, string, 80026470
bb::pr::d, double, 4020355B8A902788
bb::pr::hr, boolean, 00
bb::pr::maxh, double, 3FF49947DE6BE973
bb::pr::stop, double, 4030E4478792BA9E
bb::pr::stopt, long, 0000000000000037
bb::pr::t, long, 000000000000000C
bb::pr::vh0, double, 3FE5696874070C10
bb::rb::7751e34e-50d4-4c3e-8f88-c992fe6d26da, long, 0000000000000003
bb::sbon, boolean, 00
bb::slidet::2ce700d6-0193-412d-82f5-b5ac49f645c2, date, 810974696D657374616D7004000001A0429DACE5
bb::slidet::3f557afd-041e-4641-b850-7bcf627f08d8, date, 810974696D657374616D7004000001A042A08D64
bb::slidet::7ae81c06-e8fa-44f1-8158-f6790830396c, date, 810974696D657374616D7004000001A0429FAA84
bb::slidet::23f6b945-a36a-4a12-b080-e829dd646e38, date, 810974696D657374616D7004000001A0429FA82D
bb::slidet::65bfe8ee-2a1a-4166-b11b-33dc0b37a350, date, 810974696D657374616D7004000001A03DC397F0
bb::slidet::d278232c-1a5d-4aad-b93c-42f29115bd93, date, 810974696D657374616D7004000001A042A27EE9
bb::solo, string, 8003626174
bb::st::d278232c-1a5d-4aad-b93c-42f29115bd93::ab, long, 0000000000000002
bb::st::d278232c-1a5d-4aad-b93c-42f29115bd93::h, long, 0000000000000001
bb::st::d278232c-1a5d-4aad-b93c-42f29115bd93::pa, long, 0000000000000004
bb::st::d278232c-1a5d-4aad-b93c-42f29115bd93::r, long, 0000000000000002
cg::seq, long, 0000000000000000
cg::state, string, 80036F6666
civ::buyamt::1, long, 0000000000000006
civ::buyamt::2, long, 0000000000000001
civ::buyamt::3, long, 0000000000000020
civ::buyamt::4, long, 0000000000000004
civ::buyamt::5, long, 0000000000000005
civ::buyitem::1, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B657920800F6D696E6563726166743A627265616406616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::buyitem::2, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080166D696E6563726166743A676F6C64656E5F6170706C6506616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::buyitem::3, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B657920800F6D696E6563726166743A6172726F7706616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::buyitem::4, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080156D696E6563726166743A636F6F6B65645F6265656606616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::buyitem::5, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F00046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C75652082C076616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A2042414E4E45520A2020646973706C61792D6E616D653A20277B2274657874223A22EBB08020ED8C8CECA285EAB8B0222C22636F6C6F72223A2279656C6C6F77222C22626F6C64223A747275652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73657D270A20206C6F72653A0A20202D20277B2274657874223A22ED9A8CEBB0B1ED86A028636F61727365206469727429EBA5BC20EC9AB0ED81B4EBA6AD202D20EBB08020EC8BACEAB8B0222C22636F6C6F72223A2267726179222C22626F6C64223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73657D270A20202D20277B2274657874223A22EB8BA420EC9E90EB9E8020EBB080EC9D8020EAB4ADEC9DB4EBA19C20EC9AB0ED81B4EBA6AD202D20EC8898ED9995222C22636F6C6F72223A2267726179222C22626F6C64223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73657D270A20202D20277B2274657874223A22EC8898ED9995ED959C20EBB080EC9D8020EC8381EC9DB8EC9790EAB28C20ED8C9420EC889820EC9E88EC8AB5EB8B88EB8BA4222C22636F6C6F72223A2267726179222C22626F6C64223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73657D270A0A6973616E797468696E670F000B626C6F636B76616C756573800E4E6577426C6F636B56616C7565738204646174612080226D696E6563726166743A77686974655F62616E6E65725B726F746174696F6E3D385D09697364656661756C740F0105706C61696E0F00096974656D666C6167730300000002036B65792080166D696E6563726166743A77686974655F62616E6E657206616D6F756E740300000001046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::buyn, long, 0000000000000005
civ::buyname::1, string, 8003EBB9B5
civ::buyname::2, string, 800DED99A9EAB88820EC82ACEAB3BC
civ::buyname::3, string, 800CED9994EC82B4203332EAB09C
civ::buyname::4, string, 800CEC8AA4ED858CEC9DB4ED81AC
civ::buyname::5, string, 8013C2A765C2A76CEBB08020ED8C8CECA285EAB8B0
civ::buyprice::1, long, 0000000000000004
civ::buyprice::2, long, 000000000000005A
civ::buyprice::3, long, 000000000000001E
civ::buyprice::4, long, 0000000000000006
civ::buyprice::5, long, 000000000000001E
civ::chn, long, 0000000000000000
civ::era::b, long, 0000000000000004
civ::era::r, long, 0000000000000004
civ::gcd::7ae81c06-e8fa-44f1-8158-f6790830396c, date, 810974696D657374616D7004000001A06D86E155
civ::gcd::d278232c-1a5d-4aad-b93c-42f29115bd93, date, 810974696D657374616D7004000001A06D86A067
civ::kill::b, long, 0000000000000012
civ::kill::r, long, 0000000000000000
civ::lobby, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C073B01770A92F18017909C04E000000000000017A09C059577574FCAB150570697463680842A7003B03796177083FAE7C00
civ::price::coal, long, 0000000000000003
civ::price::cobble, long, 0000000000000001
civ::price::copper, long, 0000000000000005
civ::price::diamond, long, 000000000000003C
civ::price::emerald, long, 000000000000002D
civ::price::gold, long, 0000000000000014
civ::price::iron, long, 0000000000000008
civ::price::lapis, long, 0000000000000006
civ::price::redstone, long, 0000000000000004
civ::price::wheat, long, 0000000000000008
civ::pt::1, string, 800643454E544552
civ::pt::2, string, 80024631
civ::pt::3, string, 80024632
civ::pt::4, string, 8004424C5545
civ::pt::5, string, 8003524544
civ::ptclaim::blue, long, 0000000000000000
civ::ptclaim::center, long, 0000000000000000
civ::ptclaim::f1, long, 0000000000000000
civ::ptclaim::f2, long, 0000000000000000
civ::ptclaim::red, long, 0000000000000000
civ::pthold::blue, long, 0000000000000000
civ::pthold::center, long, 0000000000000000
civ::pthold::f1, long, 0000000000000000
civ::pthold::f2, long, 0000000000000000
civ::pthold::red, long, 0000000000000000
civ::ptloc::blue, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C066601C77A81C440179090000000000000000017A09404203098E50D6C10570697463680842B3CFC60379617708C2246CFD
civ::ptloc::center, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C066607A79CB9DF80179090000000000000000017A09C0437FD5A0AED0A50570697463680840D76AC10379617708C26F0678
civ::ptloc::f1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C06E8070D5E4EBC60179090000000000000000017A09C0437E3C0B33C9720570697463680842B24DF40379617708C2258E10
civ::ptloc::f2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C05A02E21AF00F820179090000000000000000017A09C043801C075663E10570697463680842B24DF40379617708C2435219
civ::ptloc::red, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0665F8B6034B2E10179090000000000000000017A09C05C7AEE1E1AF95A0570697463680842B400000379617708C2247A60
civ::ptname::blue, string, 800DEBB894EBA3A820EBB3B8ECA784
civ::ptname::center, string, 800DECA491EC959920EAB983EBB09C
civ::ptname::f1, string, 800B31EBB28820EAB983EBB09C
civ::ptname::f2, string, 800B32EBB28820EAB983EBB09C
civ::ptname::red, string, 800DEBA088EB939C20EBB3B8ECA784
civ::ptown::blue, string, 800162
civ::ptown::center, string, 80016E
civ::ptown::f1, string, 80016E
civ::ptown::f2, string, 80016E
civ::ptown::red, string, 800172
civ::ptown0::blue, string, 800162
civ::ptown0::center, string, 80016E
civ::ptown0::f1, string, 80016E
civ::ptown0::f2, string, 80016E
civ::ptown0::red, string, 800172
civ::ptype::blue, string, 8004686F6D65
civ::ptype::center, string, 800663656E746572
civ::ptype::f1, string, 80036E756D
civ::ptype::f2, string, 80036E756D
civ::ptype::red, string, 8004686F6D65
civ::rgnext, long, 0000000000000087
civ::sci::b, long, 0000000000001449
civ::sci::r, long, 00000000000011BF
civ::sec, long, 0000000000000285
civ::spawn::b, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0664D9573D1A3100179090000000000000000017A094050E01D784ECD5B0570697463680842A42CDE0379617708C20C4FA0
civ::spawn::r, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C066510BC91FFF8B0179090000000000000000017A09C0622EC9D03CA0C40570697463680842B2DEA403796177084330BD9C
civ::state, string, 80036F6666
civ::swing::3f557afd-041e-4641-b850-7bcf627f08d8, date, 810974696D657374616D7004000001A06C959481
civ::swing::7ae81c06-e8fa-44f1-8158-f6790830396c, date, 810974696D657374616D7004000001A06D86DF2C
civ::swing::d278232c-1a5d-4aad-b93c-42f29115bd93, date, 810974696D657374616D7004000001A06D85F19A
civ::w::p_dane::bad, string, 80232663ED81ACEAB28C20ED9C98EB9198EB9FAC20EBB988ED8B88EC9DB420ED81ACEB8BA4
civ::w::p_dane::cat, string, 8004706F6C65
civ::w::p_dane::cmd, long, 00000000000003F6
civ::w::p_dane::en, string, 800844616E6520417865
civ::w::p_dane::era, long, 0000000000000002
civ::w::p_dane::good, string, 80302637EBB094EC9DB4ED82B920EB8C80ED989520EB8F84EB81BC2E202661EBB0A9ED8CA8EBA5BC20EBB680EC889CEB8BA4
civ::w::p_dane::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080126D696E6563726166743A69726F6E5F61786506616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::p_dane::ko, string, 800DEB8DB0EC9DB820EC95A1EC8AA4
civ::w::p_dane::rng, string, 8000
civ::w::p_dane::tag, string, 8000
civ::w::p_halberd::bad, string, 802C2663ECA281EC9D8020EAB3B3EC9790EC849CEB8A9420ED9C98EB9190EBA5B4EAB8B020EC96B4EBA0B5EB8BA4
civ::w::p_halberd::cat, string, 8004706F6C65
civ::w::p_halberd::cmd, long, 00000000000003F7
civ::w::p_halberd::en, string, 800748616C62657264
civ::w::p_halberd::era, long, 0000000000000002
civ::w::p_halberd::good, string, 803B2637EB8F84EB81BC2BEAB088EAB3A0EBA6AC2BECB0BD2E202661ED8C90EAB888EC9D8420ECB08DEC96B420EB9AABEB8A94EB8BA420282B34302529
civ::w::p_halberd::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080156D696E6563726166743A6469616D6F6E645F61786506616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::p_halberd::ko, string, 8009ED95A0EBB284EB939C
civ::w::p_halberd::rng, string, 8000
civ::w::p_halberd::tag, string, 8009616E7469706C617465
civ::w::p_pike::bad, string, 80432663EAB8B0EBB3B820ED94BCED95B4EB8A9420EAB280EBB3B4EB8BA420EB82AEEB8BA42028ED98BCEC9E90EC97ACEB8F8420EC8690ED95B4EB8A9420EC9786EC9D8C29
civ::w::p_pike::cat, string, 8004706F6C65
civ::w::p_pike::cmd, long, 00000000000003F8
civ::w::p_pike::en, string, 800450696B65
civ::w::p_pike::era, long, 0000000000000003
civ::w::p_pike::good, string, 803E2637366D20EC9EA5ECB0BD2E202661EC9584EAB5B0EAB3BC20EBB699EC9CBCEBA9B4202B33302520C2B720EC82ACEAB1B0EBA6ACEAB08020EAB8B8EB8BA4
civ::w::p_pike::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080116D696E6563726166743A74726964656E7406616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::p_pike::ko, string, 8009ED8C8CEC9DB4ED81AC
civ::w::p_pike::rng, string, 8000
civ::w::p_pike::tag, string, 80077068616C616E78
civ::w::p_pilum::bad, string, 801F2663EB8D98ECA780EBA9B420ED9A8CEC8898ED95B4EC95BC20ED959CEB8BA4
civ::w::p_pilum::cat, string, 8004706F6C65
civ::w::p_pilum::cmd, long, 00000000000003F4
civ::w::p_pilum::en, string, 800550696C756D
civ::w::p_pilum::era, long, 0000000000000001
civ::w::p_pilum::good, string, 80342637EBA19CEBA78820ED88ACECB0BD2E202661EC9AB0ED81B4EBA6ADEC9CBCEBA19C20EB8D98ECA78820EC889820EC9E88EB8BA4
civ::w::p_pilum::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080116D696E6563726166743A74726964656E7406616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::p_pilum::ko, string, 8006ED9584EBA3B8
civ::w::p_pilum::rng, string, 8000
civ::w::p_pilum::tag, string, 80057468726F77
civ::w::p_sarissa::bad, string, 80432663EAB8B0EBB3B820ED94BCED95B4EB8A9420EAB280EBB3B4EB8BA420EB82AEEB8BA42028ED98BCEC9E90EC97ACEB8F8420EC8690ED95B4EB8A9420EC9786EC9D8C29
civ::w::p_sarissa::cat, string, 8004706F6C65
civ::w::p_sarissa::cmd, long, 00000000000003F5
civ::w::p_sarissa::en, string, 800753617269737361
civ::w::p_sarissa::era, long, 0000000000000001
civ::w::p_sarissa::good, string, 803B2637EBA788ECBC80EB8F84EB8B88EC958420EC9EA5ECB0BD2E202661EC9584EAB5B0EC9DB420EAB381EC979020EC9E88EC9CBCEBA9B4202B333025
civ::w::p_sarissa::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080116D696E6563726166743A74726964656E7406616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::p_sarissa::ko, string, 8009EC82ACEBA6ACEC82AC
civ::w::p_sarissa::rng, string, 8000
civ::w::p_sarissa::tag, string, 80077068616C616E78
civ::w::p_spear::bad, string, 801C2663EC9C84EBA0A5EC9D8020EAB280EBA78C20EBAABBED9598EB8BA4
civ::w::p_spear::cat, string, 8004706F6C65
civ::w::p_spear::cmd, long, 00000000000003F3
civ::w::p_spear::en, string, 800C42726F6E7A65205370656172
civ::w::p_spear::era, long, 0000000000000000
civ::w::p_spear::good, string, 80322637EAB080EC9EA520EBA8BCECA08020ECA59420EC9EA5EBB391EAB8B02E20EC82ACEAB1B0EBA6ACEAB08020EAB8B8EB8BA4
civ::w::p_spear::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080116D696E6563726166743A74726964656E7406616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::p_spear::ko, string, 8009ECB2ADEB8F99ECB0BD
civ::w::p_spear::rng, string, 8000
civ::w::p_spear::tag, string, 8000
civ::w::r_arq::bad, string, 80302663EC9EACEC9EA5ECA0842033ECB48820C2B720EBB984C2B7ECB29CEB91A5EC979420EBB09CEC82AC20EBB688EAB080
civ::w::r_arq::cat, string, 800572616E6765
civ::w::r_arq::cmd, long, 00000000000003FD
civ::w::r_arq::cs, string, 80084172717565627573
civ::w::r_arq::en, string, 80084172717565627573
civ::w::r_arq::era, long, 0000000000000003
civ::w::r_arq::good, string, 802C2637EAB8B0EC82ACEC9D9820EAB091EC98B7EC9D8420EBACB4EBA0A5ED9994ED959C20ED9994EC8AB9ECB49D
civ::w::r_arq::icon, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746188086974656D666F726D0F00076973616C6961730F01046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802C76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A2043524F5353424F570A0A6973616E797468696E670F000B626C6F636B76616C7565730005706C61696E0F00096974656D666C6167730300000000036B65792080126D696E6563726166743A63726F7373626F7706616D6F756E7403FFFFFFFF046974656D000A676C6F62616C6D6574610005626C6F636B00
civ::w::r_arq::ko, string, 800FEC9584EBA5B4ED8098EBB284EC8AA4
civ::w::r_arq::rng, string, 800867756E5F7261696E
civ::w::r_arq::tag, string, 8000
civ::w::r_comp::bad, string, 80292663EC8AB5EAB8B0EC979020EC95BDED95B420EAB480EBA6ACEAB08020ED9584EC9A94ED9598EB8BA4
civ::w::r_comp::cat, string, 800572616E6765
civ::w::r_comp::cmd, long, 00000000000003FA
civ::w::r_comp::en, string, 800D436F6D706F7369746520426F77
civ::w::r_comp::era, long, 0000000000000001
civ::w::r_comp::good, string, 80452637EBBF94C2B7EB8298EBACB4C2B7ED9E98ECA484EC9D8420EBB699EC9DB820ED95A9EC84B1EAB6812E202661EB8D9420EC84B8EAB3A020EBA980EBA6AC20EB829CEB8BA4
